Altium Designer Pick and Place Locations
D:\GitHub\Altium\BRD_EP1C6T144I8N\.\Board_EP1C6T144I8N_FabricationOutputs\Pick and place file\Pick Place for Board_EP1C6T144I8N.csv

========================================================================================================================
File Design Information:

Date:       18.02.20
Time:       17:15
Revision:   af87d8a464d72c0b757fa0af70729b4ffb5e83a4
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Rotation","Description"
"R17","BottomLayer","RESC1608(0603)N","5.9650mm","2.9900mm","5.9650mm","2.9900mm","360",""
"R16","BottomLayer","RESC1608(0603)N","5.9650mm","6.1650mm","5.9650mm","6.1650mm","360",""
"R25","BottomLayer","RESC1608(0603)N","41.7790mm","33.2160mm","41.7790mm","33.2160mm","180","Resistor"
"R36","BottomLayer","RESC1608(0603)N","65.2740mm","74.7450mm","65.2740mm","74.7450mm","360",""
"R35","BottomLayer","RESC1608(0603)N","65.2740mm","72.9670mm","65.2740mm","72.9670mm","360",""
"R34","BottomLayer","RESC1608(0603)N","65.2740mm","77.9200mm","65.2740mm","77.9200mm","180",""
"R32","BottomLayer","RESC1608(0603)N","58.6700mm","77.2850mm","58.6700mm","77.2850mm","180",""
"R31","BottomLayer","RESC1608(0603)N","54.9870mm","71.8240mm","54.9870mm","71.8240mm","180",""
"R30","BottomLayer","RESC1608(0603)N","46.9900mm","74.2950mm","46.9900mm","74.2950mm","270",""
"R29","BottomLayer","RESC1608(0603)N","49.5300mm","74.2950mm","49.5300mm","74.2950mm","270",""
"R28","BottomLayer","RESC1608(0603)N","52.0700mm","74.2950mm","52.0700mm","74.2950mm","270",""
"R27","BottomLayer","RESC1608(0603)N","44.4500mm","74.2950mm","44.4500mm","74.2950mm","270",""
"R18","BottomLayer","RESC1608(0603)N","19.3000mm","82.4920mm","19.3000mm","82.4920mm","90",""
"R20","BottomLayer","RESC1608(0603)N","15.9980mm","53.4090mm","15.9980mm","53.4090mm","270",""
"R19","BottomLayer","RESC1608(0603)N","15.9980mm","57.6000mm","15.9980mm","57.6000mm","270",""
"R15","BottomLayer","RESC1608(0603)N","17.9030mm","82.4920mm","17.9030mm","82.4920mm","90",""
"R14","BottomLayer","RESC1608(0603)N","15.4900mm","82.4920mm","15.4900mm","82.4920mm","90",""
"R4","BottomLayer","RESC1608(0603)N","47.2440mm","28.7020mm","47.2440mm","28.7020mm","360",""
"R2","BottomLayer","RESC1608(0603)N","10.4100mm","44.1380mm","10.4100mm","44.1380mm","270",""
"R1","BottomLayer","RESC1608(0603)N","47.1130mm","25.2150mm","47.1130mm","25.2150mm","180",""
"R5","BottomLayer","RESC1608(0603)N","55.4950mm","21.7860mm","55.4950mm","21.7860mm","90",""
"R3","BottomLayer","RESC1608(0603)N","49.7800mm","21.7860mm","49.7800mm","21.7860mm","90",""
"R33","BottomLayer","RESC1608(0603)N","65.2740mm","69.9190mm","65.2740mm","69.9190mm","180",""
"X5","BottomLayer","PLLS1.27-1-TOP-R","58.6700mm","25.2150mm","58.6700mm","25.2150mm","180",""
"X4","BottomLayer","PLLS1.27-1-TOP-R","58.6700mm","26.4850mm","58.6700mm","26.4850mm","180",""
"X3","BottomLayer","PLLS1.27-1-TOP-R","58.6700mm","27.7550mm","58.6700mm","27.7550mm","180",""
"X2","BottomLayer","PLLS1.27-1-TOP-R","58.6700mm","29.0250mm","58.6700mm","29.0250mm","180",""
"X1","BottomLayer","PLLS1.27-1-TOP-R","56.1300mm","30.2950mm","56.1300mm","30.2950mm","180",""
"DD1","BottomLayer","TSSOP14","52.9550mm","27.1200mm","52.9550mm","27.1200mm","90","IC INVERTER SCHMITT 6CH 14TSSOP"
"C10","BottomLayer","CAPC1608(0603)N","57.4000mm","18.8650mm","57.4000mm","18.8650mm","90","?"
"C5","BottomLayer","CAPC1608(0603)N","57.4000mm","15.0550mm","57.4000mm","15.0550mm","270","?"
"C4","BottomLayer","CAPC1608(0603)N","47.8750mm","18.8650mm","47.8750mm","18.8650mm","90","?"
"C43","BottomLayer","CAPC1608(0603)N","54.9870mm","70.0460mm","54.9870mm","70.0460mm","360","?"
"C42","BottomLayer","CAPC1608(0603)N","57.4000mm","66.7440mm","57.4000mm","66.7440mm","90","?"
"C41","BottomLayer","CAPC1608(0603)N","58.9240mm","66.7440mm","58.9240mm","66.7440mm","90","?"
"C40","BottomLayer","CAPC1608(0603)N","60.4480mm","66.7440mm","60.4480mm","66.7440mm","90","?"
"C3","BottomLayer","CAPC1608(0603)N","57.4000mm","23.3100mm","57.4000mm","23.3100mm","270","?"
"C2","BottomLayer","CAPC1608(0603)N","47.8750mm","15.0550mm","47.8750mm","15.0550mm","270","?"
"DA3","BottomLayer","QFN28","59.9400mm","73.4750mm","59.9400mm","73.4750mm","90",""
"C47","BottomLayer","CAPC2012(0805)N","63.7500mm","11.2450mm","63.7500mm","11.2450mm","90","CAP CER 47UF 6.3V X5R 0805"
"C46","BottomLayer","CAPC2012(0805)N","58.0350mm","5.5300mm","58.0350mm","5.5300mm","180","CAP CER 47UF 6.3V X5R 0805"
"C45","BottomLayer","CAPC2012(0805)N","63.7500mm","58.2350mm","63.7500mm","58.2350mm","270","CAP CER 47UF 6.3V X5R 0805"
"C44","BottomLayer","CAPC2012(0805)N","12.3150mm","8.7050mm","12.3150mm","8.7050mm","360","CAP CER 47UF 6.3V X5R 0805"
"C8","BottomLayer","CAPC2012(0805)N","10.7910mm","63.9500mm","10.7910mm","63.9500mm","360","CAP CER 47UF 6.3V X5R 0805"
"C6","BottomLayer","CAPC2012(0805)N","37.5880mm","58.2350mm","37.5880mm","58.2350mm","90","CAP CER 47UF 6.3V X5R 0805"
"C9","BottomLayer","CAPC2012(0805)N","5.3300mm","11.2450mm","5.3300mm","11.2450mm","90","CAP CER 47UF 6.3V X5R 0805"
"C7","BottomLayer","CAPC2012(0805)N","4.0600mm","57.6000mm","4.0600mm","57.6000mm","360","CAP CER 47UF 6.3V X5R 0805"
"Q1","BottomLayer","SG-8002JF","12.9100mm","39.2800mm","10.4100mm","41.2800mm","360",""
"DS1","BottomLayer","SO8_N","15.4900mm","72.2050mm","15.4900mm","72.2050mm","180","IC CONFIG DEVICE 1MBIT 8SOIC"
"DA2","BottomLayer","SOT223_M","43.4300mm","52.5200mm","43.4300mm","52.5200mm","360",""
"DA1","BottomLayer","SOT223_M","26.0600mm","52.5200mm","26.0600mm","52.5200mm","360",""
"ZL3","BottomLayer","INDC1608(0603)N","60.5750mm","60.7750mm","60.5750mm","60.7750mm","270","ferite bead"
"ZL2","BottomLayer","INDC1608(0603)N","41.2710mm","36.5180mm","41.2710mm","36.5180mm","360","ferite bead"
"ZL1","BottomLayer","INDC1608(0603)N","27.8090mm","36.6450mm","27.8090mm","36.6450mm","180","ferite bead"
"C26","BottomLayer","CapKemet1005(0402)","24.1260mm","36.2640mm","24.1260mm","36.2640mm","180",""
"C12","BottomLayer","CapKemet1005(0402)","24.1260mm","29.5330mm","24.1260mm","29.5330mm","180",""
"C13","BottomLayer","CapKemet1005(0402)","24.1260mm","40.3280mm","24.1260mm","40.3280mm","180",""
