Altium Designer Pick and Place Locations
D:\GitHub\Altium\BRD_EPM240\.\BRD_EPM240_FabricationOutputs\Pick and place file\Pick Place for BRD_EPM240.csv

========================================================================================================================
File Design Information:

Date:       18.02.20
Time:       17:02
Revision:   76a74308edc400d2137f5502b4cd249dff6f7c83
Variant:    No variations
Units used: mm

"Designator","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Rotation","Description"
"R14","BottomLayer","RESC1608(0603)N","-23.2410mm","14.9860mm","-23.2410mm","14.9860mm","180",""
"R15","BottomLayer","RESC1608(0603)N","16.8910mm","-24.6380mm","16.8910mm","-24.6380mm","180",""
"C27","BottomLayer","CAPC1608(0603)N","-16.6370mm","2.1590mm","-16.6370mm","2.1590mm","270","?"
"R13","BottomLayer","RESC1608(0603)N","-18.2880mm","2.1590mm","-18.2880mm","2.1590mm","90",""
"R11","BottomLayer","RESC1608(0603)N","-23.3680mm","2.1590mm","-23.3680mm","2.1590mm","90",""
"R12","BottomLayer","RESC1608(0603)N","-25.2730mm","8.5090mm","-25.2730mm","8.5090mm","90",""
"R10","BottomLayer","RESC1608(0603)N","-25.2730mm","3.9370mm","-25.2730mm","3.9370mm","270",""
"X80","BottomLayer","PLLS1.27-1-TOP-R","-16.1290mm","10.1600mm","-16.1290mm","10.1600mm","90",""
"DD3","BottomLayer","TSSOP14","-20.4470mm","7.1120mm","-20.4470mm","7.1120mm","360","IC INVERTER SCHMITT 6CH 14TSSOP"
"C30","BottomLayer","CAPC1608(0603)N","-20.1930mm","-0.3810mm","-20.1930mm","-0.3810mm","90","?"
"C29","BottomLayer","CAPC1608(0603)N","-20.1930mm","-4.8260mm","-20.1930mm","-4.8260mm","270","?"
"C28","BottomLayer","CAPC1608(0603)N","-25.2730mm","-0.3810mm","-25.2730mm","-0.3810mm","90","?"
"C26","BottomLayer","CAPC1608(0603)N","-25.2730mm","-4.8260mm","-25.2730mm","-4.8260mm","270","?"
"C9","BottomLayer","CAPC1608(0603)N","7.6200mm","-5.3340mm","7.6200mm","-5.3340mm","360","?"
"C4","BottomLayer","CAPC1608(0603)N","22.8600mm","-30.4800mm","22.8600mm","-30.4800mm","90","?"
"C2","BottomLayer","CAPC1608(0603)N","-22.8600mm","-30.4800mm","-22.8600mm","-30.4800mm","90","?"
"C25","BottomLayer","CAPC1608(0603)N","22.8600mm","30.4800mm","22.8600mm","30.4800mm","270","?"
"C24","BottomLayer","CAPC1608(0603)N","-22.8600mm","30.4800mm","-22.8600mm","30.4800mm","270","?"
"R7","BottomLayer","RESC1608(0603)N","23.7490mm","8.1280mm","23.7490mm","8.1280mm","90",""
"DD2","BottomLayer","QFN24_N","19.9540mm","10.1030mm","19.9540mm","10.1030mm","270","USB Bridge, USB to UART USB 2.0 UART Interface 24-QFN (4x4)"
"C21","BottomLayer","CAPC1608(0603)N","19.7000mm","5.6580mm","19.7000mm","5.6580mm","90","?"
"C13","BottomLayer","CAPC1608(0603)N","23.7490mm","15.1130mm","23.7490mm","15.1130mm","270","?"
"C10","BottomLayer","CAPC1608(0603)N","20.7136mm","15.1130mm","20.7136mm","15.1130mm","270","?"
"C8","BottomLayer","CAPC1608(0603)N","22.2250mm","15.1130mm","22.2250mm","15.1130mm","270","?"
"C23","BottomLayer","CAPC1608(0603)N","30.4800mm","22.8600mm","30.4800mm","22.8600mm","180","?"
"C22","BottomLayer","CAPC1608(0603)N","30.4800mm","-22.8600mm","30.4800mm","-22.8600mm","180","?"
"C1","BottomLayer","CAPC1608(0603)N","-30.4800mm","22.2250mm","-30.4800mm","22.2250mm","360","?"
"C3","BottomLayer","CAPC1608(0603)N","-30.4800mm","-22.8600mm","-30.4800mm","-22.8600mm","360","?"
"R4","BottomLayer","RESC1608(0603)N","-8.0010mm","-5.8420mm","-8.0010mm","-5.8420mm","90",""
"R3","BottomLayer","RESC1608(0603)N","-9.5250mm","-5.8420mm","-9.5250mm","-5.8420mm","90",""
"R2","BottomLayer","RESC1608(0603)N","-11.0490mm","-5.8420mm","-11.0490mm","-5.8420mm","90",""
"R1","BottomLayer","RESC1608(0603)N","-6.4770mm","-5.8420mm","-6.4770mm","-5.8420mm","90",""
"R5","BottomLayer","RESC1608(0603)N","-7.6200mm","1.0160mm","-7.6200mm","1.0160mm","360",""
"C12","BottomLayer","CAPC1608(0603)N","1.7780mm","4.6990mm","1.7780mm","4.6990mm","270","?"
"C7","BottomLayer","CAPC1608(0603)N","16.0020mm","14.0970mm","16.0020mm","14.0970mm","180","?"
"C6","BottomLayer","CAPC1608(0603)N","8.2550mm","10.9360mm","8.2550mm","10.9360mm","360","?"
"C20","BottomLayer","CAPC1608(0603)N","7.6200mm","0.0000mm","7.6200mm","0.0000mm","180","?"
"C19","BottomLayer","CAPC1608(0603)N","7.6200mm","-2.5400mm","7.6200mm","-2.5400mm","180","?"
"C18","BottomLayer","CAPC1608(0603)N","-7.6200mm","-0.5080mm","-7.6200mm","-0.5080mm","360","?"
"C17","BottomLayer","CAPC1608(0603)N","3.8100mm","7.6200mm","3.8100mm","7.6200mm","270","?"
"C14","BottomLayer","CAPC1608(0603)N","-3.8100mm","-7.6200mm","-3.8100mm","-7.6200mm","90","?"
"C11","BottomLayer","CAPC1608(0603)N","2.5400mm","-7.6200mm","2.5400mm","-7.6200mm","90","?"
"C5","BottomLayer","CAPC1608(0603)N","-15.2400mm","12.1920mm","-15.2400mm","12.1920mm","270","?"
"C15","BottomLayer","CAPC1608(0603)N","-3.8100mm","7.6200mm","-3.8100mm","7.6200mm","270","?"
"C16","BottomLayer","CAPC1608(0603)N","-7.6200mm","2.5400mm","-7.6200mm","2.5400mm","360","?"
"DA1","BottomLayer","SOT223_M","8.2550mm","5.7150mm","8.2550mm","5.7150mm","270",""
"L1","BottomLayer","INDC1608(0603)N","14.6050mm","17.1450mm","14.6050mm","17.1450mm","270",""
"Q1","BottomLayer","SG-8002JF","-8.2230mm","6.6910mm","-6.2230mm","9.1910mm","270",""
"R22","TopLayer","RESC1608(0603)N","23.4950mm","22.2250mm","23.4950mm","22.2250mm","90",""
"R21","TopLayer","RESC1608(0603)N","22.2250mm","22.2250mm","22.2250mm","22.2250mm","90",""
"R20","TopLayer","RESC1608(0603)N","20.9550mm","22.2250mm","20.9550mm","22.2250mm","90",""
"R19","TopLayer","RESC1608(0603)N","19.6850mm","22.2250mm","19.6850mm","22.2250mm","90",""
"R18","TopLayer","RESC1608(0603)N","18.4150mm","22.2250mm","18.4150mm","22.2250mm","90",""
"R17","TopLayer","RESC1608(0603)N","17.1450mm","22.2250mm","17.1450mm","22.2250mm","90",""
"R16","TopLayer","RESC1608(0603)N","15.8750mm","22.2250mm","15.8750mm","22.2250mm","90",""
"R6","TopLayer","RESC1608(0603)N","14.6050mm","22.2250mm","14.6050mm","22.2250mm","90",""
"HL10","TopLayer","LED-0603-GREEN","23.4950mm","19.0500mm","23.4950mm","19.0500mm","270","LED GREEN DIFFUSED 0603 SMD"
"HL9","TopLayer","LED-0603-GREEN","22.2250mm","19.0500mm","22.2250mm","19.0500mm","270","LED GREEN DIFFUSED 0603 SMD"
"HL8","TopLayer","LED-0603-GREEN","20.9550mm","19.0500mm","20.9550mm","19.0500mm","270","LED BLUE DIFFUSED 0603 SMD"
"HL7","TopLayer","LED-0603-GREEN","19.6850mm","19.0500mm","19.6850mm","19.0500mm","270","LED BLUE DIFFUSED 0603 SMD"
"HL6","TopLayer","LED-0603-GREEN","18.4150mm","19.0500mm","18.4150mm","19.0500mm","270","LED BLUE DIFFUSED 0603 SMD"
"HL5","TopLayer","LED-0603-GREEN","17.1450mm","19.0500mm","17.1450mm","19.0500mm","270","LED BLUE DIFFUSED 0603 SMD"
"HL4","TopLayer","LED-0603-GREEN","15.8750mm","19.0500mm","15.8750mm","19.0500mm","270","LED BLUE DIFFUSED 0603 SMD"
"HL3","TopLayer","LED-0603-GREEN","14.6050mm","19.0500mm","14.6050mm","19.0500mm","270","LED GREEN DIFFUSED 0603 SMD"
"SB1","TopLayer","PTS636_SM43_SMTR_LFS","-20.3200mm","20.3200mm","-20.3200mm","20.3200mm","90","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 4.3mm H, 180gf, G leads, No ground pin, Black Actuator"
"SB2","TopLayer","PTS636_SM43_SMTR_LFS","20.3200mm","-20.3200mm","20.3200mm","-20.3200mm","90","Tactile Switches Tact 50mA 12VDC, 6.0x3.5, 4.3mm H, 180gf, G leads, No ground pin, Black Actuator"
"G2","TopLayer","HC-49/S","-18.2880mm","-3.0480mm","-18.2880mm","-5.4610mm","90","Crystal HC-49/S"
"G1","TopLayer","HC-49/S","-23.3680mm","-3.0480mm","-23.3680mm","-5.4610mm","90","Crystal HC-49/S"
"XP7","TopLayer","PLLS1.27-5","-15.8750mm","-12.7000mm","-15.8750mm","-10.1600mm","180","CONN HEADER VERT 5POS 1.27MM"
"XP2","TopLayer","IDC2.54-V34-TE","0.0000mm","-30.4800mm","0.0000mm","-30.4800mm","180",""
